Product/Service full name,Type,Sales Description,Sales price
Achen's Transfer,Service,Achen's Transfer,0.00
Atlanta Project,Service,,0.00
Balavadi Project,Service,Balavadi Project,0.00
Baptism / Wedding,Service,Baptism/Wedding,0.00
Birthday,Service,Birthday,0.00
Capital Expenditure - Building,Service,Building Maintenance,0.00
Chair,Service,,0.00
Christmas,Service,Christmas Donation,0.00
Church Building Fund (Restrict),Service,Building Fund,0.00
Clearing Account,Service,Clearing Account,
Company Donations,Service,Company Donations,
Diocesan Fund,Service,Diocesan Fund,0.00
Family Retreat,Service,Church Family Retreat,0.00
Family Sunday Special Offertory,Service,Family Sunday Special Offertory,0.00
First Communicants,Service,First Communicants,0.00
Good Samaritan Fund,Service,Good Samaritan Fund Contribution,0.00
Harvest,Service,Harvest Donation,0.00
Harvest (Aadhyabhalam),Service,Harvest Festival (Aadhyaphalam),
Insurance Income Parsonage,Service,,0.00
Interest,Service,Interest Income,0.00
Light to Life,Service,Education sponsorship mission,0.00
Local Community Programs,Service,Local Community Programs,0.00
Mexico Mission,Service,,0.00
Microphone,Service,,0.00
Ministry Outreach,Service,Charity by Organizations,
Monthly Prayer Offertory,Service,Monthly Common Prayer Offertory,0.00
New Car purchase,Service,New Car Purchase,0.00
Offertory,Service,Church Sunday Offertory,0.00
Other,Service,Other,0.00
Pass Thru,Service,Pass-Thru,0.00
Pews,Service,,0.00
Pledge,Service,Monthly Pledge,0.00
Podium,Service,,0.00
Ressessa,Service,Ressessa,0.00
Sales,Service,,
Self Denial,Service,Self Denial,0.00
Sound System,Service,,0.00
Souvenir,Service,,0.00
Special Sunday Offertory,Service,Special Sunday Offertory,0.00
Sunday School,Service,Sunday School,0.00
Table,Service,,0.00
VBS,Service,VBS,0.00
Wedding Anv,Service,Wedding Anniversary,0.00
Young Couples,Service,,0.00
Yuvajana Sakhyam,Service,,0.00
,,,
,,,
,,,
" Sunday, March 22, 2026 10:04 PM GMT-05:00",,,
