/Users/benny2168/Library/CloudStorage/SynologyDrive-MS-Personal/Antigravity/PCO to MailChimp/.venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
2026-03-23 00:10:19,439 - INFO - Scheduler started
2026-03-23 00:10:19,439 - INFO - Added job "run_scheduled_sync" to job store "default"
2026-03-23 00:10:19,439 - INFO - Scheduler (re)configured with SYNC_SCHEDULE = 0 0 3 * * 1
2026-03-23 00:10:19,439 - INFO - Added job "run_scheduled_donation_sync" to job store "default"
2026-03-23 00:10:19,440 - INFO - Donation scheduler (re)configured with cron = 0 0 4 * * 1
 * Serving Flask app 'app'
 * Debug mode: off
2026-03-23 00:10:19,450 - INFO - [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:8080
 * Running on http://192.168.1.110:8080
2026-03-23 00:10:19,450 - INFO - [33mPress CTRL+C to quit[0m
2026-03-23 00:10:21,586 - INFO - 127.0.0.1 - - [23/Mar/2026 00:10:21] "GET /api/logs/sync_20260323_000952.log HTTP/1.1" 200 -
2026-03-23 00:10:21,587 - INFO - 127.0.0.1 - - [23/Mar/2026 00:10:21] "GET /api/status HTTP/1.1" 200 -
2026-03-23 00:10:21,587 - INFO - 127.0.0.1 - - [23/Mar/2026 00:10:21] "GET /api/donation-sync-status HTTP/1.1" 200 -
2026-03-23 00:10:23,030 - INFO - 127.0.0.1 - - [23/Mar/2026 00:10:23] "GET /api/member-history/93343352 HTTP/1.1" 200 -
2026-03-23 00:10:24,590 - INFO - 127.0.0.1 - - [23/Mar/2026 00:10:24] "GET /api/logs/sync_20260323_000952.log HTTP/1.1" 200 -
2026-03-23 00:10:24,610 - INFO - 127.0.0.1 - - [23/Mar/2026 00:10:24] "GET /api/donations HTTP/1.1" 200 -
2026-03-23 00:10:24,611 - INFO - 127.0.0.1 - - [23/Mar/2026 00:10:24] "GET /api/members HTTP/1.1" 200 -
2026-03-23 00:10:24,612 - INFO - 127.0.0.1 - - [23/Mar/2026 00:10:24] "GET /api/status HTTP/1.1" 200 -
2026-03-23 00:10:24,612 - INFO - 127.0.0.1 - - [23/Mar/2026 00:10:24] "GET /api/donation-sync-status HTTP/1.1" 200 -
2026-03-23 00:10:27,586 - INFO - 127.0.0.1 - - [23/Mar/2026 00:10:27] "GET /api/logs/sync_20260323_000952.log HTTP/1.1" 200 -
2026-03-23 00:10:27,587 - INFO - 127.0.0.1 - - [23/Mar/2026 00:10:27] "GET /api/status HTTP/1.1" 200 -
2026-03-23 00:10:27,587 - INFO - 127.0.0.1 - - [23/Mar/2026 00:10:27] "GET /api/donation-sync-status HTTP/1.1" 200 -
2026-03-23 00:10:30,584 - INFO - 127.0.0.1 - - [23/Mar/2026 00:10:30] "GET /api/logs/sync_20260323_000952.log HTTP/1.1" 200 -
2026-03-23 00:10:30,585 - INFO - 127.0.0.1 - - [23/Mar/2026 00:10:30] "GET /api/status HTTP/1.1" 200 -
2026-03-23 00:10:30,585 - INFO - 127.0.0.1 - - [23/Mar/2026 00:10:30] "GET /api/donation-sync-status HTTP/1.1" 200 -
